country,n_responses
BEL,83
DEU,55
FRA,32
USA,26
GBR,19
NLD,15
POL,8
ITA,7
ESP,7
CHE,7
SWE,6
AUT,6
IRL,5
FIN,4
DNK,4
NOR,3
JPN,3
BGR,3
PRT,2
LTU,2
CZE,2
HRV,1
GRC,1
CYP,1
CHN,1
